ROI,AverageControllability,ModalControllability,MinControlEnergy
0,1.5319741666240843,0.47952798579496325,0.8925657814925713
1,7.4735121990680575,0.11513770385368377,0.6562615478356265
2,1.232048683673832,0.9565004895158126,0.8710889792020134
3,2.45334983438644,0.25142040607635874,0.738107884429411
4,1.2423482954744063,0.8595787455305737,0.780015164937086
5,1.2064510771478485,2.7933213863559665,0.3894986242249926
6,2.7667069183947213,0.6842382786153443,0.33338101147976557
7,1.8457882282972526,1.9563176713286365,0.35201590819406614
8,2.1583105049388442,0.1650372384662513,0.7427461043972156
9,2.8690796425850804,0.2369418816471597,0.7480665048576373
10,1.576014345586539,0.6792603572377305,0.6105773298998195
11,2.3646930985559633,0.5796267738682197,0.575741180038682
12,1.8649259461638346,0.2555158748425894,0.894945516283872
13,3.8246187689815336,0.6084366985318916,0.3779517558928212
14,2.0127281450454335,0.3194725718260756,0.7323047874387401
